Date,Product_ID,Product_Category,Region,Units_Sold,Price,Revenue
2024-12-18,1041,Electronics,South,13,238.81,3104.53
2024-12-02,1073,Electronics,West,16,265.06,4240.96
2022-07-26,1058,Toys,North,2,493.91,987.82
2024-02-19,1043,Toys,West,12,439.68,5276.16
2023-06-16,1097,Toys,South,14,161.14,2255.96
2022-06-15,1025,Home,East,8,280.22,2241.76
2023-10-05,1022,Home,North,6,10.15,60.900000000000006
2022-03-31,1072,Electronics,East,14,210.69,2949.66
2022-01-13,1007,Home,South,15,90.3,1354.5
2024-08-30,1052,Electronics,North,3,358.57,1075.71
2024-03-15,1013,Sports,East,7,118.33,828.31
2024-08-02,1070,Clothing,South,16,376.96,6031.36
2024-01-12,1006,Electronics,East,2,163.45,326.9
2024-05-25,1008,Electronics,West,17,463.66,7882.22
2023-10-22,1002,Sports,West,11,228.25,2510.75
2024-10-28,1077,Toys,South,3,421.36,1264.08
2024-11-18,1016,Toys,East,8,317.8,2542.4
2022-10-23,1043,Toys,South,19,488.93,9289.67
2024-09-12,1085,Electronics,East,18,373.93,6730.74
2024-07-14,1045,Electronics,North,7,366.57,2565.99
2023-10-02,1089,Home,South,16,139.78,2236.48
2022-12-06,1057,Home,South,14,257.38,3603.3199999999997
2023-09-20,1027,Clothing,East,8,152.16,1217.28
2023-03-15,1013,Clothing,South,13,19.45,252.85
2024-07-30,1008,Home,North,3,358.19,1074.57
2024-04-09,1025,Electronics,East,2,125.56,251.12
2023-06-03,1001,Sports,East,13,204.69,2660.97
2024-09-02,1074,Home,East,3,149.47,448.40999999999997
2024-12-04,1080,Electronics,North,1,107.82,107.82
2024-08-12,1033,Home,North,2,42.89,85.78
2024-08-09,1018,Toys,South,10,175.57,1755.6999999999998
2024-08-01,1038,Home,East,11,50.06,550.6600000000001
2022-06-04,1081,Toys,North,3,274.76,824.28
2022-03-29,1012,Electronics,West,8,19.62,156.96
2024-07-19,1004,Toys,South,15,470.61,7059.150000000001
2022-06-28,1049,Home,North,5,483.57,2417.85
2022-07-31,1022,Toys,North,8,159.28,1274.24
2023-04-10,1087,Sports,North,18,137.5,2475.0
2023-09-23,1028,Toys,South,18,61.16,1100.8799999999999
2024-04-04,1071,Toys,North,12,453.41,5440.92
2023-08-30,1025,Clothing,North,4,297.56,1190.24
2024-06-03,1078,Sports,West,8,308.96,2471.68
2023-01-01,1056,Electronics,West,2,448.97,897.94
2022-10-03,1000,Toys,West,3,456.29,1368.8700000000001
2023-01-15,1027,Sports,North,8,415.89,3327.12
2024-08-02,1061,Electronics,West,12,388.99,4667.88
2024-12-23,1046,Sports,East,2,439.85,879.7
2024-03-20,1077,Clothing,West,17,439.23,7466.91
2024-07-13,1097,Electronics,West,14,190.64,2668.96
2023-05-09,1058,Electronics,North,14,486.96,6817.44
2024-12-30,1030,Toys,East,6,357.47,2144.82
2022-12-30,1069,Home,West,8,191.4,1531.2
2023-07-24,1048,Electronics,North,10,226.6,2266.0
2024-02-02,1004,Electronics,East,18,346.69,6240.42
2022-10-03,1030,Clothing,West,1,186.94,186.94
2022-02-19,1036,Clothing,North,7,415.01,2905.0699999999997
2023-12-29,1078,Clothing,East,7,82.55,577.85
2024-06-24,1014,Toys,West,13,454.72,5911.360000000001
2024-07-16,1051,Electronics,East,16,157.59,2521.44
2023-07-18,1068,Clothing,East,12,84.83,1017.96
2024-02-22,1091,Clothing,North,19,430.43,8178.17
2023-04-30,1096,Sports,South,6,127.34,764.04
2023-08-07,1010,Sports,East,7,423.26,2962.8199999999997
2022-08-24,1042,Clothing,East,17,155.17,2637.89
2022-02-25,1069,Toys,East,19,467.59,8884.21
2022-12-26,1022,Home,East,5,117.35,586.75
2022-04-20,1039,Sports,East,3,44.13,132.39000000000001
2022-07-11,1062,Sports,South,18,468.9,8440.199999999999
2024-06-22,1001,Electronics,North,17,91.16,1549.72
2024-05-11,1078,Electronics,South,11,472.62,5198.82
2023-07-22,1086,Clothing,North,9,413.75,3723.75
2024-12-19,1085,Electronics,South,17,50.14,852.38
2023-10-12,1072,Electronics,North,19,228.12,4334.28
2022-02-08,1046,Home,West,13,45.97,597.61
2024-12-08,1029,Toys,East,6,171.6,1029.6
2023-09-29,1015,Clothing,North,4,182.24,728.96
2024-11-02,1058,Home,North,18,303.82,5468.76
2022-02-05,1046,Clothing,East,12,488.19,5858.28
2022-04-11,1029,Toys,West,4,93.18,372.72
2022-06-15,1008,Clothing,East,5,171.28,856.4
2023-01-18,1064,Electronics,North,12,297.68,3572.16
2024-02-29,1058,Toys,North,18,94.0,1692.0
2022-01-31,1063,Home,East,17,358.25,6090.25
2022-01-11,1007,Home,South,10,207.79,2077.9
2022-04-06,1051,Sports,East,6,475.29,2851.7400000000002
2023-03-29,1017,Home,North,17,318.64,5416.88
2022-07-11,1090,Sports,North,8,187.91,1503.28
2023-05-01,1081,Electronics,North,2,362.54,725.08
2022-08-26,1095,Home,West,12,420.99,5051.88
2024-12-24,1057,Toys,East,3,402.24,1206.72
2024-01-05,1048,Sports,West,7,138.75,971.25
2024-09-17,1031,Home,East,1,214.32,214.32
2024-04-04,1047,Electronics,West,17,231.57,3936.69
2022-04-16,1044,Toys,South,8,200.31,1602.48
2022-06-30,1053,Toys,North,10,162.32,1623.1999999999998
2022-07-03,1099,Electronics,North,17,378.85,6440.450000000001
2022-08-14,1099,Home,East,16,15.99,255.84
2024-02-16,1084,Clothing,North,10,153.84,1538.4
2024-02-29,1045,Home,West,15,79.39,1190.85
2023-11-19,1095,Sports,South,16,73.1,1169.6
2023-06-14,1030,Sports,West,18,145.71,2622.78
2024-08-29,1036,Home,West,4,383.46,1533.84
2024-07-24,1015,Sports,East,7,485.02,3395.14
2022-04-16,1045,Clothing,North,12,262.16,3145.92
2024-04-10,1045,Clothing,West,12,176.1,2113.2
2023-11-10,1077,Toys,East,1,416.29,416.29
2024-04-28,1087,Sports,West,12,42.88,514.5600000000001
2024-11-21,1088,Home,West,7,55.65,389.55
2023-01-28,1060,Toys,West,15,179.23,2688.45
2022-02-09,1045,Clothing,East,2,229.72,459.44
2023-10-22,1050,Toys,South,1,400.94,400.94
2024-09-07,1061,Electronics,West,4,463.38,1853.52
2024-04-24,1034,Sports,West,8,270.33,2162.64
2022-07-20,1080,Home,East,17,252.87,4298.79
2023-03-23,1041,Clothing,North,18,114.38,2058.84
2024-11-27,1044,Toys,South,5,231.08,1155.4
2023-03-20,1067,Home,East,6,462.59,2775.54
2024-01-31,1074,Sports,North,12,202.52,2430.2400000000002
2022-08-15,1046,Home,East,16,113.23,1811.68
2022-02-17,1078,Sports,East,9,175.27,1577.43
2024-11-07,1029,Sports,South,15,262.15,3932.2499999999995
2024-06-30,1023,Sports,South,8,303.31,2426.48
2022-07-06,1065,Toys,South,12,221.89,2662.68
2022-12-11,1042,Sports,South,14,381.68,5343.52
2022-08-12,1033,Home,North,17,296.38,5038.46
2024-04-09,1022,Electronics,West,14,335.87,4702.18
2023-05-03,1060,Home,East,5,432.83,2164.15
2024-05-26,1094,Toys,South,13,434.19,5644.47
2024-04-28,1036,Sports,West,6,109.72,658.3199999999999
2024-09-05,1012,Electronics,North,14,315.44,4416.16
2024-10-13,1096,Toys,South,6,361.15,2166.8999999999996
2022-07-07,1070,Clothing,East,3,81.47,244.41
2022-09-27,1095,Clothing,West,16,422.96,6767.36
2022-11-06,1006,Clothing,South,12,98.43,1181.16
2024-12-31,1041,Electronics,East,14,401.65,5623.099999999999
2024-04-24,1037,Home,West,2,89.12,178.24
2023-05-01,1051,Electronics,East,18,373.47,6722.460000000001
2022-04-30,1043,Electronics,North,7,82.59,578.13
2022-08-08,1063,Electronics,South,5,195.63,978.15
2022-02-22,1012,Clothing,South,12,80.32,963.8399999999999
2024-01-28,1087,Home,East,17,142.65,2425.05
2024-01-08,1027,Electronics,West,12,492.41,5908.92
2023-12-21,1095,Home,South,11,62.76,690.36
2023-02-10,1081,Sports,East,1,209.17,209.17
2023-08-31,1097,Electronics,North,9,341.69,3075.21
2024-10-17,1097,Electronics,South,8,56.35,450.8
2023-02-26,1000,Electronics,East,14,63.43,888.02
2023-12-13,1042,Sports,West,4,80.2,320.8
2022-09-04,1041,Sports,South,11,326.04,3586.44
2022-03-13,1094,Clothing,South,17,455.58,7744.86
2022-07-04,1049,Toys,North,8,414.73,3317.84
2022-01-06,1059,Home,East,1,491.7,491.7
2024-06-24,1000,Toys,West,18,293.29,5279.22
2023-01-22,1050,Electronics,North,5,481.12,2405.6
2023-11-30,1015,Electronics,North,8,159.42,1275.36
2024-04-06,1038,Clothing,North,8,216.54,1732.32
2022-12-15,1014,Toys,East,9,204.06,1836.54
2022-11-04,1032,Electronics,East,18,33.21,597.78
2022-10-14,1086,Toys,South,7,416.56,2915.92
2024-02-05,1052,Clothing,East,10,22.11,221.1
2023-12-26,1097,Toys,North,16,367.64,5882.24
2024-02-01,1016,Home,East,3,209.46,628.38
2023-01-18,1088,Clothing,West,10,13.06,130.6
2023-01-23,1005,Toys,South,8,152.07,1216.56
2023-06-09,1030,Electronics,North,18,179.6,3232.7999999999997
2023-10-01,1068,Sports,South,4,482.7,1930.8
2024-07-26,1039,Sports,East,12,333.93,4007.16
2022-10-03,1029,Clothing,South,5,276.35,1381.75
2023-05-15,1068,Sports,South,4,72.25,289.0
2023-12-18,1075,Home,East,19,201.64,3831.16
2022-12-03,1006,Clothing,South,19,27.52,522.88
2024-07-20,1012,Electronics,East,5,383.23,1916.15
2023-04-26,1003,Electronics,North,15,89.76,1346.4
2024-06-29,1049,Clothing,South,12,301.27,3615.24
2024-12-17,1002,Sports,West,13,352.7,4585.099999999999
2022-04-19,1011,Sports,West,6,189.59,1137.54
2022-11-24,1064,Electronics,North,17,319.97,5439.490000000001
2022-11-11,1026,Home,East,10,384.47,3844.7000000000003
2023-11-30,1049,Sports,East,14,100.22,1403.08
2024-02-20,1076,Home,South,15,304.42,4566.3
2022-06-05,1016,Sports,South,10,369.6,3696.0
2024-06-05,1071,Clothing,West,6,184.95,1109.6999999999998
2024-10-22,1031,Toys,West,16,89.62,1433.92
2024-01-28,1083,Electronics,East,2,150.2,300.4
2023-12-23,1050,Clothing,West,10,467.21,4672.099999999999
2024-07-01,1016,Sports,East,5,185.15,925.75
2024-05-20,1033,Electronics,North,9,62.77,564.9300000000001
2022-01-13,1034,Toys,North,19,50.54,960.26
2023-08-31,1098,Toys,West,19,98.44,1870.36
2023-05-13,1023,Sports,South,9,72.48,652.32
2022-08-26,1053,Electronics,West,16,252.57,4041.12
2024-02-20,1017,Sports,West,19,180.3,3425.7000000000003
2023-08-29,1049,Toys,West,4,422.29,1689.16
2023-10-23,1045,Clothing,South,5,441.73,2208.65
2024-04-28,1047,Clothing,West,18,241.91,4354.38
2024-07-24,1032,Home,South,8,445.38,3563.04
2023-09-20,1086,Toys,West,13,230.73,2999.49
2022-05-23,1088,Toys,South,9,324.56,2921.04
2023-12-15,1026,Sports,South,10,89.64,896.4
2023-04-24,1000,Home,South,4,35.77,143.08
2023-07-19,1084,Home,South,19,88.44,1680.36
2023-04-16,1058,Electronics,South,4,133.4,533.6
2023-01-19,1009,Sports,North,13,377.98,4913.74
2024-07-14,1094,Clothing,East,17,95.02,1615.34
2023-02-21,1024,Electronics,East,11,74.02,814.2199999999999
2022-11-04,1083,Home,South,2,464.53,929.06
2023-10-11,1056,Clothing,East,5,347.51,1737.55
2024-10-21,1065,Toys,South,13,241.92,3144.96
2024-12-03,1014,Sports,West,3,56.53,169.59
2024-01-09,1027,Home,North,19,427.38,8120.22
2022-05-20,1012,Toys,West,19,63.05,1197.95
2024-08-31,1013,Home,West,16,309.41,4950.56
2024-10-13,1065,Clothing,South,16,337.16,5394.56
2024-08-10,1033,Electronics,West,3,206.07,618.21
2024-06-22,1098,Clothing,North,9,456.5,4108.5
2022-03-13,1024,Sports,West,19,34.84,661.96
2022-04-17,1053,Sports,North,1,410.88,410.88
2024-12-01,1078,Home,North,14,281.36,3939.04
2024-06-01,1011,Clothing,South,11,309.49,3404.3900000000003
2022-05-19,1008,Electronics,North,18,493.54,8883.720000000001
2023-09-07,1030,Sports,West,7,295.5,2068.5
2024-05-12,1077,Electronics,South,6,400.54,2403.2400000000002
2022-09-30,1092,Toys,North,12,85.23,1022.76
2023-02-20,1052,Home,North,2,406.55,813.1
2023-05-21,1042,Electronics,East,13,382.93,4978.09
2024-01-03,1037,Home,South,1,484.37,484.37
2023-02-28,1041,Toys,East,15,468.5,7027.5
2023-01-25,1071,Electronics,North,8,114.85,918.8
2022-12-08,1047,Electronics,East,18,237.82,4280.76
2024-08-03,1066,Toys,West,15,456.63,6849.45
2023-09-06,1065,Clothing,West,8,323.97,2591.76
2023-05-08,1015,Electronics,North,2,237.21,474.42
2022-07-11,1082,Electronics,East,11,63.38,697.1800000000001
2023-05-14,1093,Sports,East,8,182.36,1458.88
2024-04-01,1015,Clothing,South,13,335.97,4367.610000000001
2022-08-15,1030,Electronics,West,1,390.69,390.69
2022-05-19,1057,Toys,West,18,229.11,4123.9800000000005
2024-05-05,1027,Home,South,5,37.36,186.8
2024-03-27,1003,Toys,West,1,320.25,320.25
2024-12-22,1009,Clothing,East,12,461.58,5538.96
2022-04-14,1050,Sports,East,5,253.24,1266.2
2024-05-20,1017,Sports,West,16,464.93,7438.88
2023-10-30,1046,Sports,South,18,183.51,3303.18
2022-09-30,1031,Toys,North,2,444.32,888.64
2024-10-26,1029,Home,North,15,395.31,5929.65
2022-07-03,1035,Home,North,11,481.25,5293.75
2024-11-17,1008,Electronics,North,10,397.6,3976.0
2022-10-20,1035,Home,East,3,167.53,502.59000000000003
2022-06-26,1028,Home,North,13,451.28,5866.639999999999
2022-02-27,1015,Electronics,East,13,338.17,4396.21
2022-11-04,1091,Toys,East,3,89.41,268.23
2024-09-03,1020,Toys,North,10,32.52,325.20000000000005
2023-12-01,1063,Clothing,North,4,189.26,757.04
2022-03-24,1065,Toys,North,14,395.56,5537.84
2022-09-09,1058,Sports,West,17,312.93,5319.81
2024-03-06,1098,Sports,West,1,268.29,268.29
2024-06-15,1027,Clothing,South,15,11.83,177.45
2022-07-29,1054,Home,East,2,223.4,446.8
2024-03-26,1099,Clothing,North,18,87.28,1571.04
2023-09-01,1030,Electronics,West,7,232.74,1629.18
2023-03-23,1032,Clothing,South,13,495.97,6447.610000000001
2023-04-05,1086,Clothing,East,3,440.97,1322.91
2024-08-25,1059,Sports,East,3,162.21,486.63
2023-04-17,1040,Electronics,East,13,300.82,3910.66
2023-01-05,1080,Electronics,West,4,256.03,1024.12
2024-06-18,1045,Clothing,North,16,73.72,1179.52
2024-07-11,1048,Electronics,North,8,495.01,3960.08
2022-05-17,1064,Electronics,East,8,218.34,1746.72
2023-01-02,1041,Toys,East,16,257.77,4124.32
2024-06-30,1022,Electronics,South,2,327.32,654.64
2022-07-03,1026,Home,South,9,103.86,934.74
2023-04-17,1088,Electronics,East,13,118.89,1545.57
2023-10-16,1031,Sports,South,12,104.35,1252.1999999999998
2024-01-19,1082,Toys,West,2,198.39,396.78
2023-06-21,1087,Sports,East,9,107.84,970.5600000000001
2024-03-12,1002,Sports,South,1,463.93,463.93
2024-07-08,1059,Home,East,6,360.01,2160.06
2023-05-25,1075,Toys,North,2,449.94,899.88
2023-09-22,1098,Clothing,West,3,425.76,1277.28
2024-09-28,1078,Electronics,East,15,354.54,5318.1
2024-07-04,1016,Home,North,7,128.95,902.6499999999999
2024-10-30,1031,Home,East,13,311.51,4049.63
2022-06-01,1006,Clothing,North,16,101.29,1620.64
2024-10-25,1082,Home,South,13,74.91,973.8299999999999
2023-04-09,1070,Clothing,North,12,319.96,3839.5199999999995
2022-09-28,1068,Clothing,West,17,316.07,5373.19
2023-04-05,1057,Clothing,West,11,86.74,954.14
2022-04-15,1039,Home,South,7,182.69,1278.83
2022-06-11,1084,Clothing,East,13,42.48,552.24
2022-12-17,1047,Home,West,10,360.71,3607.1
2023-03-10,1050,Toys,South,10,493.87,4938.7
2024-05-01,1056,Clothing,West,13,372.55,4843.150000000001
2022-05-20,1070,Home,South,19,423.63,8048.97
2022-03-28,1036,Home,West,17,243.41,4137.97
2022-07-02,1086,Home,South,7,56.84,397.88
2023-01-03,1074,Electronics,West,4,366.04,1464.16
2022-05-09,1073,Electronics,East,17,135.69,2306.73
2023-11-01,1084,Clothing,North,4,200.26,801.04
2022-05-29,1054,Toys,West,18,354.52,6381.36
2024-09-11,1040,Clothing,South,8,453.34,3626.72
2024-05-01,1096,Sports,East,8,248.26,1986.08
2023-09-20,1019,Sports,West,16,481.19,7699.04
2023-03-22,1032,Toys,South,15,264.75,3971.25
2024-06-02,1039,Toys,North,18,70.03,1260.54
2022-10-21,1098,Toys,South,19,264.03,5016.57
2022-09-07,1033,Electronics,West,6,431.71,2590.2599999999998
2024-05-27,1061,Electronics,South,9,273.64,2462.7599999999998
2024-08-05,1099,Sports,South,16,376.4,6022.4
2024-09-01,1090,Toys,North,9,278.5,2506.5
2024-11-14,1018,Home,West,17,277.57,4718.69
2024-02-28,1042,Sports,West,4,149.53,598.12
2024-09-10,1068,Toys,North,15,108.62,1629.3000000000002
2024-06-07,1062,Home,East,11,146.67,1613.37
2024-06-08,1092,Toys,South,14,226.01,3164.14
2022-03-11,1009,Clothing,South,17,406.7,6913.9
2023-09-17,1012,Home,South,13,416.21,5410.73
2024-05-24,1092,Clothing,West,9,90.06,810.54
2023-04-16,1004,Electronics,West,16,280.9,4494.4
2022-04-01,1057,Sports,South,8,213.85,1710.8
2023-06-14,1058,Toys,West,14,289.76,4056.64
2023-10-23,1075,Sports,North,15,327.34,4910.099999999999
2024-01-09,1058,Toys,North,7,147.01,1029.07
2023-12-27,1076,Clothing,West,11,460.43,5064.7300000000005
2024-05-21,1085,Home,South,3,468.37,1405.1100000000001
2022-07-11,1014,Home,South,7,61.63,431.41
2022-05-18,1076,Toys,South,5,354.48,1772.4
2022-12-11,1000,Clothing,South,9,26.28,236.52
2024-10-05,1037,Toys,West,19,32.82,623.58
2023-05-18,1052,Toys,East,13,479.32,6231.16
2022-07-22,1051,Toys,East,19,350.48,6659.120000000001
2023-07-27,1000,Home,South,16,169.03,2704.48
2022-07-11,1010,Toys,South,2,338.24,676.48
2022-01-05,1057,Home,South,1,424.46,424.46
2022-11-07,1039,Electronics,East,3,436.74,1310.22
2023-07-03,1085,Clothing,North,12,20.05,240.60000000000002
2022-02-25,1098,Electronics,East,6,410.93,2465.58
2023-03-19,1059,Toys,West,2,428.07,856.14
2024-05-19,1043,Home,East,16,301.83,4829.28
2023-08-08,1005,Clothing,West,5,245.15,1225.75
2024-01-22,1027,Sports,South,12,64.39,772.6800000000001
2022-12-26,1030,Clothing,West,4,127.41,509.64
2024-03-29,1007,Clothing,South,14,250.34,3504.76
2022-01-30,1004,Toys,North,17,433.89,7376.13
2022-04-18,1053,Electronics,South,12,403.54,4842.4800000000005
2024-04-23,1016,Electronics,South,13,253.01,3289.13
2023-12-18,1037,Sports,North,17,394.96,6714.32
2024-06-09,1008,Toys,South,15,385.21,5778.15
2024-08-17,1073,Clothing,South,9,293.72,2643.4800000000005
2024-06-11,1083,Electronics,South,10,117.96,1179.6
2024-01-02,1077,Electronics,East,6,180.52,1083.1200000000001
2023-08-29,1013,Home,West,17,90.39,1536.63
2023-04-02,1025,Clothing,South,12,13.5,162.0
2023-09-07,1092,Toys,East,9,49.46,445.14
2023-11-29,1061,Electronics,South,2,382.22,764.44
2023-11-05,1090,Toys,West,16,26.41,422.56
2023-06-27,1024,Clothing,South,16,205.93,3294.88
2024-05-06,1079,Clothing,West,1,493.03,493.03
2024-06-15,1035,Electronics,East,11,399.67,4396.37
2022-10-05,1097,Sports,East,3,377.8,1133.4
2023-07-06,1079,Toys,South,2,144.61,289.22
2022-04-21,1032,Toys,North,14,324.45,4542.3
2023-01-20,1002,Home,West,1,254.37,254.37
2024-01-31,1086,Clothing,South,6,315.67,1894.02
2023-11-25,1010,Clothing,East,7,223.55,1564.8500000000001
2023-02-09,1057,Electronics,South,2,270.17,540.34
2022-01-22,1063,Electronics,West,2,494.31,988.62
2023-11-09,1017,Electronics,South,15,171.36,2570.4
2023-09-03,1046,Home,West,5,116.06,580.3
2022-01-08,1043,Sports,East,13,229.76,2986.88
2023-12-03,1092,Electronics,North,19,266.92,5071.4800000000005
2023-06-13,1058,Electronics,North,19,51.96,987.24
2023-08-25,1049,Electronics,East,15,404.93,6073.95
2023-10-19,1068,Home,East,1,216.81,216.81
2022-06-15,1087,Toys,South,3,212.46,637.38
2024-04-28,1028,Sports,East,18,332.83,5990.94
2023-05-11,1092,Toys,East,17,388.89,6611.13
2023-08-13,1089,Clothing,West,8,493.11,3944.88
2023-03-05,1066,Clothing,South,11,95.02,1045.22
2024-02-13,1001,Electronics,West,8,179.32,1434.56
2022-06-12,1024,Toys,South,6,92.45,554.7
2023-01-01,1018,Home,South,6,441.62,2649.7200000000003
2022-03-13,1039,Sports,North,6,278.76,1672.56
2023-10-17,1001,Toys,North,2,427.7,855.4
2022-09-26,1082,Toys,East,10,492.76,4927.6
2023-02-19,1064,Sports,South,10,279.6,2796.0
2024-10-12,1061,Toys,East,9,67.89,611.01
2023-11-06,1090,Toys,West,3,187.02,561.0600000000001
2024-12-19,1053,Sports,East,2,27.73,55.46
2022-01-06,1044,Home,West,4,426.16,1704.64
2024-09-08,1048,Sports,North,8,18.76,150.08
2023-07-24,1098,Electronics,North,9,300.17,2701.53
2023-02-11,1068,Electronics,West,2,62.01,124.02
2022-01-26,1037,Electronics,West,16,13.7,219.2
2024-10-25,1003,Electronics,West,6,135.51,813.06
2024-09-12,1016,Clothing,East,8,280.41,2243.28
2023-01-25,1052,Home,West,3,46.79,140.37
2023-12-11,1084,Clothing,South,11,311.3,3424.3
2023-07-25,1052,Toys,West,5,339.28,1696.3999999999999
2024-01-24,1030,Toys,North,12,485.15,5821.799999999999
2022-05-26,1021,Sports,West,11,450.77,4958.469999999999
2024-02-24,1010,Electronics,North,5,287.73,1438.65
2023-06-10,1033,Sports,North,3,398.75,1196.25
2022-01-13,1014,Toys,East,9,188.18,1693.6200000000001
2024-06-21,1009,Electronics,West,18,297.0,5346.0
2023-01-19,1095,Home,North,12,207.64,2491.68
2023-07-10,1052,Toys,South,4,175.15,700.6
2024-06-05,1047,Sports,West,7,366.54,2565.78
2022-01-19,1030,Sports,West,11,155.37,1709.0700000000002
2023-07-29,1036,Toys,North,2,196.47,392.94
2024-01-21,1027,Clothing,East,12,189.91,2278.92
2024-09-30,1030,Home,East,9,436.5,3928.5
2023-02-23,1069,Toys,West,6,93.5,561.0
2023-02-23,1013,Toys,West,7,196.92,1378.4399999999998
2022-05-02,1086,Sports,East,6,445.06,2670.36
2023-03-08,1015,Electronics,East,18,17.5,315.0
2022-02-13,1024,Electronics,South,13,474.45,6167.849999999999
2023-01-16,1038,Electronics,West,9,450.46,4054.14
2022-05-25,1065,Sports,West,19,214.75,4080.25
2022-12-29,1037,Electronics,West,4,329.98,1319.92
2024-12-09,1040,Toys,East,4,495.62,1982.48
2024-12-24,1097,Clothing,North,13,281.92,3664.96
2022-12-21,1039,Clothing,South,11,57.48,632.28
2024-03-10,1063,Clothing,East,2,428.28,856.56
2024-04-05,1088,Electronics,East,6,75.73,454.38
2023-02-02,1099,Clothing,South,12,136.06,1632.72
2024-05-29,1015,Electronics,West,8,438.02,3504.16
2023-04-08,1081,Toys,North,5,135.45,677.25
2024-03-18,1076,Toys,South,9,375.09,3375.81
2022-07-06,1058,Sports,North,4,229.36,917.44
2024-01-02,1090,Sports,West,9,382.28,3440.5199999999995
2023-03-05,1097,Home,North,12,123.85,1486.1999999999998
2024-05-07,1010,Toys,West,4,215.59,862.36
2022-08-25,1000,Electronics,East,17,165.9,2820.3
2024-02-10,1012,Home,West,2,132.03,264.06
2024-01-28,1029,Toys,South,13,164.07,2132.91
2022-05-16,1068,Electronics,South,15,168.27,2524.05
2024-03-02,1017,Toys,West,8,478.14,3825.12
2022-06-20,1077,Toys,West,6,271.28,1627.6799999999998
2022-06-08,1012,Electronics,East,9,236.41,2127.69
2022-07-20,1031,Toys,East,11,256.63,2822.93
2024-08-19,1070,Toys,West,12,498.1,5977.200000000001
2023-08-06,1071,Toys,North,2,330.26,660.52
2024-05-25,1049,Sports,East,2,354.71,709.42
2023-01-06,1070,Clothing,South,11,163.67,1800.37
2022-04-13,1079,Toys,East,8,241.05,1928.4
2024-09-28,1030,Electronics,East,6,100.19,601.14
2024-09-02,1050,Toys,East,18,345.74,6223.32
2024-03-08,1026,Sports,East,11,178.8,1966.8000000000002
2023-10-20,1059,Sports,West,6,376.66,2259.96
2024-05-31,1032,Toys,East,9,114.45,1030.05
2024-01-03,1052,Home,North,14,207.72,2908.08
2023-02-27,1092,Clothing,East,19,240.88,4576.72
2023-07-26,1071,Electronics,East,6,91.6,549.5999999999999
2022-06-20,1032,Electronics,South,19,44.1,837.9
2022-06-22,1040,Electronics,East,10,165.36,1653.6000000000001
2023-10-25,1018,Electronics,South,14,277.0,3878.0
2023-03-29,1084,Sports,South,5,329.81,1649.05
2022-12-16,1040,Clothing,West,12,218.38,2620.56
2023-05-09,1084,Toys,South,19,255.14,4847.66
2023-09-12,1088,Toys,South,2,276.16,552.32
2024-10-24,1041,Home,North,15,260.84,3912.5999999999995
2024-07-07,1022,Toys,North,6,54.26,325.56
2022-01-06,1074,Clothing,South,8,208.45,1667.6
2022-10-15,1032,Toys,West,14,110.12,1541.68
2023-08-31,1019,Sports,North,3,271.53,814.5899999999999
2023-04-02,1024,Toys,North,6,381.46,2288.7599999999998
2024-10-26,1089,Electronics,West,11,293.95,3233.45
2023-09-16,1051,Electronics,East,9,118.69,1068.21
2023-01-11,1011,Electronics,North,17,111.8,1900.6
2023-03-23,1031,Electronics,South,19,28.13,534.47
2024-04-14,1032,Sports,South,2,218.93,437.86
2024-03-21,1073,Sports,South,8,222.1,1776.8
2024-08-16,1067,Sports,West,10,125.85,1258.5
2024-04-28,1014,Toys,South,3,384.49,1153.47
2024-03-19,1050,Electronics,East,10,199.38,1993.8
2024-09-05,1005,Home,West,2,338.01,676.02
2023-02-20,1090,Home,North,7,323.63,2265.41
2023-12-27,1068,Electronics,West,1,306.32,306.32
2023-03-30,1068,Clothing,South,12,454.95,5459.4
2022-05-30,1081,Toys,West,5,17.79,88.94999999999999
2024-01-29,1091,Home,West,9,43.34,390.06000000000006
2024-02-18,1034,Sports,West,12,363.85,4366.200000000001
2024-08-30,1085,Clothing,West,11,183.23,2015.53
2024-02-02,1033,Sports,East,12,493.4,5920.799999999999
2024-09-28,1062,Clothing,West,3,116.04,348.12
2022-03-17,1067,Clothing,South,12,99.88,1198.56
2023-08-22,1017,Toys,North,1,298.23,298.23
2022-08-13,1025,Sports,East,6,146.92,881.52
2022-04-23,1085,Sports,West,11,176.84,1945.24
2022-09-08,1096,Home,North,2,461.3,922.6
2024-04-20,1060,Electronics,East,8,22.86,182.88
2023-12-15,1077,Electronics,South,11,270.32,2973.52
2022-05-05,1094,Home,South,12,174.1,2089.2
2024-12-28,1073,Clothing,North,19,179.54,3411.2599999999998
2024-12-06,1087,Home,West,9,131.43,1182.8700000000001
2024-06-02,1084,Home,North,11,76.08,836.88
2022-01-30,1047,Sports,East,18,26.9,484.2
2022-10-08,1071,Home,North,9,493.97,4445.7300000000005
2024-07-12,1095,Clothing,North,15,333.58,5003.7
2023-01-03,1030,Electronics,West,18,390.83,7034.94
2023-05-10,1033,Toys,South,8,41.85,334.8
2024-11-14,1086,Home,West,4,17.27,69.08
2023-12-19,1088,Home,South,13,304.14,3953.8199999999997
2024-10-13,1006,Sports,West,15,364.68,5470.2
2023-08-29,1082,Sports,South,8,203.48,1627.84
2023-01-10,1006,Home,West,16,200.0,3200.0
